message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2,181994, y=11,117770])";"30";"turtlesim1.sim";"1759166837.069309414";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,195775, y=11,117770])";"30";"turtlesim1.sim";"1759166837.054310960";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,209555, y=11,117770])";"30";"turtlesim2.sim";"1759166837.052981524";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,223336, y=11,117770])";"30";"turtlesim3.sim";"1759166837.052981494";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,209555, y=11,117770])";"30";"turtlesim1.sim";"1759166837.038146385";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,223336, y=11,117770])";"30";"turtlesim2.sim";"1759166837.037520216";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,223336, y=11,117770])";"30";"turtlesim1.sim";"1759166837.021427320";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,237116, y=11,117770])";"30";"turtlesim2.sim";"1759166837.021417161";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,250897, y=11,117770])";"30";"turtlesim3.sim";"1759166837.021353517";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,237116, y=11,117770])";"30";"turtlesim1.sim";"1759166837.005609319";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,250897, y=11,117770])";"30";"turtlesim2.sim";"1759166837.005562324";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,264677, y=11,117770])";"30";"turtlesim3.sim";"1759166837.005562284";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,250897, y=11,117770])";"30";"turtlesim1.sim";"1759166836.990184657";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,264677, y=11,117770])";"30";"turtlesim1.sim";"1759166836.973927945";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,292238, y=11,117770])";"30";"turtlesim3.sim";"1759166836.973377873";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,278458, y=11,117770])";"30";"turtlesim2.sim";"1759166836.973303630";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,278458, y=11,117770])";"30";"turtlesim1.sim";"1759166836.958075903";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,306019, y=11,117770])";"30";"turtlesim3.sim";"1759166836.957265532";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,292238, y=11,117770])";"30";"turtlesim2.sim";"1759166836.957196407";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,306019, y=11,117770])";"30";"turtlesim2.sim";"1759166836.941408120";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,292238, y=11,117770])";"30";"turtlesim1.sim";"1759166836.941347531";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,319799, y=11,117770])";"30";"turtlesim3.sim";"1759166836.941345227";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,306019, y=11,117770])";"30";"turtlesim1.sim";"1759166836.925565184";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,333580, y=11,117770])";"30";"turtlesim3.sim";"1759166836.925498594";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,319799, y=11,117770])";"30";"turtlesim2.sim";"1759166836.925498654";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,319799, y=11,117770])";"30";"turtlesim1.sim";"1759166836.909876957";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,347361, y=11,117770])";"30";"turtlesim3.sim";"1759166836.909722408";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,333580, y=11,117770])";"30";"turtlesim2.sim";"1759166836.909692635";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,333580, y=11,117770])";"30";"turtlesim1.sim";"1759166836.893816649";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,361141, y=11,117770])";"30";"turtlesim3.sim";"1759166836.893414945";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,347361, y=11,117770])";"30";"turtlesim2.sim";"1759166836.893415486";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,347361, y=11,117770])";"30";"turtlesim1.sim";"1759166836.878056643";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,374922, y=11,117770])";"30";"turtlesim3.sim";"1759166836.877201181";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,361141, y=11,117770])";"30";"turtlesim2.sim";"1759166836.877200720";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,361141, y=11,117770])";"30";"turtlesim1.sim";"1759166836.862115880";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,388702, y=11,117770])";"30";"turtlesim3.sim";"1759166836.861758005";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,374922, y=11,117770])";"30";"turtlesim2.sim";"1759166836.861758496";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,374922, y=11,117770])";"30";"turtlesim1.sim";"1759166836.846050213";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,402483, y=11,117770])";"30";"turtlesim3.sim";"1759166836.845414968";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,388702, y=11,117770])";"30";"turtlesim2.sim";"1759166836.845434283";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,388702, y=11,117770])";"30";"turtlesim1.sim";"1759166836.830122654";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,430044, y=11,117770])";"30";"turtlesim1.sim";"1759166836.782300287";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,443824, y=11,117770])";"30";"turtlesim2.sim";"1759166836.781013728";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,457605, y=11,117770])";"30";"turtlesim3.sim";"1759166836.781018758";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,443824, y=11,117770])";"30";"turtlesim1.sim";"1759166836.765855236";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,457605, y=11,117770])";"30";"turtlesim2.sim";"1759166836.765589587";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,471385, y=11,117770])";"30";"turtlesim3.sim";"1759166836.765417157";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,457605, y=11,117770])";"30";"turtlesim1.sim";"1759166836.749352812";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,471385, y=11,117770])";"30";"turtlesim2.sim";"1759166836.748950396";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,485166, y=11,117770])";"30";"turtlesim3.sim";"1759166836.748910524";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,471385, y=11,117770])";"30";"turtlesim1.sim";"1759166836.733562080";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,498946, y=11,117770])";"30";"turtlesim3.sim";"1759166836.733051579";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,485166, y=11,117770])";"30";"turtlesim2.sim";"1759166836.733051830";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,485166, y=11,117770])";"30";"turtlesim1.sim";"1759166836.717993949";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,678093, y=11,117770])";"30";"turtlesim1.sim";"1759166836.494276371";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,705654, y=11,117770])";"30";"turtlesim3.sim";"1759166836.493714989";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,691874, y=11,117770])";"30";"turtlesim2.sim";"1759166836.493697227";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,691874, y=11,117770])";"30";"turtlesim1.sim";"1759166836.478010363";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,719435, y=11,117770])";"30";"turtlesim3.sim";"1759166836.477205262";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,705654, y=11,117770])";"30";"turtlesim2.sim";"1759166836.477176830";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,705654, y=11,117770])";"30";"turtlesim1.sim";"1759166836.462251188";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,733215, y=11,117770])";"30";"turtlesim3.sim";"1759166836.461547329";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,719435, y=11,117770])";"30";"turtlesim2.sim";"1759166836.461537702";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,719435, y=11,117770])";"30";"turtlesim1.sim";"1759166836.445815784";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,733215, y=11,117770])";"30";"turtlesim2.sim";"1759166836.445142210";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,746996, y=11,117770])";"30";"turtlesim3.sim";"1759166836.445090116";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,733215, y=11,117770])";"30";"turtlesim1.sim";"1759166836.429977897";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,746996, y=11,117770])";"30";"turtlesim2.sim";"1759166836.429609804";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,760777, y=11,117770])";"30";"turtlesim3.sim";"1759166836.429419781";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,746996, y=11,117770])";"30";"turtlesim1.sim";"1759166836.414188838";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,760777, y=11,117770])";"30";"turtlesim2.sim";"1759166836.413292002";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,774557, y=11,117770])";"30";"turtlesim3.sim";"1759166836.413006567";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,760777, y=11,117770])";"30";"turtlesim1.sim";"1759166836.398138649";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,788338, y=11,117770])";"30";"turtlesim3.sim";"1759166836.397344848";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,774557, y=11,117770])";"30";"turtlesim2.sim";"1759166836.396902280";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,788338, y=11,117770])";"30";"turtlesim2.sim";"1759166836.381606120";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,774557, y=11,117770])";"30";"turtlesim1.sim";"1759166836.381578730";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,802118, y=11,117770])";"30";"turtlesim3.sim";"1759166836.380900007";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,788338, y=11,117770])";"30";"turtlesim1.sim";"1759166836.366010800";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,815899, y=11,117770])";"30";"turtlesim3.sim";"1759166836.365150580";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,802118, y=11,117770])";"30";"turtlesim2.sim";"1759166836.364968752";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,829679, y=11,117770])";"30";"turtlesim3.sim";"1759166836.349625697";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,815899, y=11,117770])";"30";"turtlesim2.sim";"1759166836.349483170";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,802118, y=11,117770])";"30";"turtlesim1.sim";"1759166836.349233610";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,815899, y=11,117770])";"30";"turtlesim1.sim";"1759166836.334144513";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,843460, y=11,117770])";"30";"turtlesim3.sim";"1759166836.332970006";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,829679, y=11,117770])";"30";"turtlesim2.sim";"1759166836.332902995";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,829679, y=11,117770])";"30";"turtlesim1.sim";"1759166836.317932943";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,857240, y=11,117770])";"30";"turtlesim3.sim";"1759166836.317935016";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,843460, y=11,117770])";"30";"turtlesim2.sim";"1759166836.317935076";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,843460, y=11,117770])";"30";"turtlesim1.sim";"1759166836.302112497";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,857240, y=11,117770])";"30";"turtlesim2.sim";"1759166836.301742290";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,871021, y=11,117770])";"30";"turtlesim3.sim";"1759166836.301742390";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,857240, y=11,117770])";"30";"turtlesim1.sim";"1759166836.286299605";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,871021, y=11,117770])";"30";"turtlesim2.sim";"1759166836.285696378";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,884801, y=11,117770])";"30";"turtlesim3.sim";"1759166836.285696408";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,871021, y=11,117770])";"30";"turtlesim1.sim";"1759166836.269646589";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,884801, y=11,117770])";"30";"turtlesim2.sim";"1759166836.268875269";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,898582, y=11,089546])";"30";"turtlesim3.sim";"1759166836.268875289";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,884801, y=11,117770])";"30";"turtlesim1.sim";"1759166836.254321106";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,898582, y=11,089546])";"30";"turtlesim2.sim";"1759166836.253198493";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,898582, y=11,089546])";"30";"turtlesim1.sim";"1759166836.237858062";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Spawning turtle [turtle1] at x=[5,544445], y=[5,544445], theta=[0,000000]";"20";"turtlesim1.sim";"1759166494.113149334";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5,544445], y=[5,544445], theta=[0,000000]";"20";"turtlesim2.sim";"1759166494.111761581";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5,544445], y=[5,544445], theta=[0,000000]";"20";"turtlesim3.sim";"1759166494.110948404";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:209"
"Starting turtlesim with node name /turtlesim1/sim";"20";"turtlesim1.sim";"1759166494.101580406";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /turtlesim2/sim";"20";"turtlesim2.sim";"1759166494.100843807";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:TurtleFrame:112"
